epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3037,1.15224,4.45985,1.27679,0.0457,0.54113,0.05391,0.03875,0.92456,3.87106,1.00386,0.000114073,0.000114073,0.000114073
2,81.3577,1.01238,3.62207,1.16696,0.22538,0.23933,0.1322,0.09836,0.93077,3.09763,1.04651,0.000224537,0.000224537,0.000224537
3,108.878,1.03325,2.90298,1.19941,0.22596,0.30403,0.19133,0.14125,0.89486,2.52619,1.03753,0.000330447,0.000330447,0.000330447
4,135.518,0.99683,2.52058,1.18839,0.32066,0.34529,0.27303,0.20404,0.89116,2.32604,1.04072,0.000324507,0.000324507,0.000324507
5,161.604,0.949,2.31775,1.1545,0.39387,0.46469,0.36974,0.28785,0.82944,2.0535,1.00858,0.000317676,0.000317676,0.000317676
6,187.677,0.93269,2.19269,1.13967,0.43522,0.47344,0.46133,0.36211,0.82959,1.89869,0.99906,0.000310845,0.000310845,0.000310845
7,214.162,0.90566,2.07465,1.12495,0.4644,0.45688,0.45881,0.35628,0.83662,1.90555,1.02855,0.000304014,0.000304014,0.000304014
8,240.318,0.89334,1.98436,1.11685,0.51032,0.58531,0.56464,0.44631,0.77716,1.56714,0.96879,0.000297183,0.000297183,0.000297183
9,266.731,0.88314,1.89847,1.10451,0.50411,0.61249,0.59106,0.45628,0.79644,1.56949,0.9899,0.000290352,0.000290352,0.000290352
10,293.237,0.86583,1.81799,1.09508,0.53321,0.61043,0.59947,0.47057,0.78591,1.5347,0.97713,0.000283521,0.000283521,0.000283521
11,319.761,0.85792,1.77972,1.09438,0.5593,0.61321,0.61908,0.49071,0.75889,1.47162,0.96122,0.00027669,0.00027669,0.00027669
12,346.231,0.85771,1.73276,1.08707,0.59999,0.65729,0.6588,0.51616,0.78112,1.43137,0.99826,0.000269859,0.000269859,0.000269859
13,372.641,0.83788,1.644,1.07489,0.61711,0.62358,0.65554,0.5247,0.74524,1.41433,0.97831,0.000263028,0.000263028,0.000263028
14,399.315,0.84058,1.64788,1.07797,0.68842,0.60929,0.68429,0.54938,0.76824,1.31243,0.9756,0.000256197,0.000256197,0.000256197
15,425.559,0.82798,1.60434,1.07039,0.63071,0.71581,0.72074,0.57482,0.76453,1.22069,0.96633,0.000249366,0.000249366,0.000249366
16,451.753,0.82098,1.55072,1.06607,0.63174,0.702,0.72154,0.57503,0.74673,1.25167,0.96566,0.000242535,0.000242535,0.000242535
17,477.332,0.81361,1.52388,1.06683,0.67952,0.63124,0.69732,0.56969,0.72456,1.30018,0.95464,0.000235704,0.000235704,0.000235704
18,503.623,0.80525,1.46651,1.06151,0.72042,0.68606,0.75405,0.61137,0.71452,1.15213,0.95448,0.000228873,0.000228873,0.000228873
19,529.934,0.80537,1.43609,1.05987,0.70105,0.7104,0.75619,0.61195,0.7118,1.11099,0.94023,0.000222042,0.000222042,0.000222042
20,556.448,0.79618,1.41556,1.05179,0.70957,0.70771,0.77101,0.61783,0.72079,1.10161,0.96293,0.000215211,0.000215211,0.000215211
21,583.162,0.79332,1.38136,1.04954,0.73695,0.7418,0.79795,0.64506,0.71363,1.03848,0.944,0.00020838,0.00020838,0.00020838
22,609.661,0.78532,1.36278,1.04864,0.72966,0.74194,0.79654,0.65518,0.70469,1.03201,0.95229,0.000201549,0.000201549,0.000201549
23,636.169,0.77442,1.32497,1.04122,0.70079,0.76275,0.7902,0.64505,0.6975,1.03007,0.94381,0.000194718,0.000194718,0.000194718
24,662.748,0.78204,1.31436,1.04473,0.76209,0.73647,0.8164,0.66474,0.70816,0.98692,0.95367,0.000187887,0.000187887,0.000187887
25,689.373,0.76722,1.2724,1.03727,0.74564,0.72982,0.80085,0.65292,0.69762,1.03828,0.94968,0.000181056,0.000181056,0.000181056
26,716.169,0.76576,1.27525,1.03884,0.72735,0.70913,0.78901,0.64546,0.68507,1.04894,0.9422,0.000174225,0.000174225,0.000174225
27,743.029,0.75022,1.2479,1.03155,0.74462,0.76369,0.82374,0.67509,0.69254,0.94361,0.94903,0.000167394,0.000167394,0.000167394
28,769.823,0.75838,1.20176,1.03025,0.82112,0.73773,0.83169,0.68632,0.67942,0.95864,0.92928,0.000160563,0.000160563,0.000160563
29,796.716,0.76151,1.19764,1.03246,0.78807,0.73648,0.81571,0.67271,0.67812,0.95548,0.94519,0.000153732,0.000153732,0.000153732
30,823.634,0.74837,1.17825,1.02934,0.78892,0.75419,0.83689,0.69461,0.67065,0.91168,0.92452,0.000146901,0.000146901,0.000146901
31,850.329,0.75459,1.14767,1.03102,0.76442,0.79704,0.84752,0.69697,0.68235,0.89893,0.93742,0.00014007,0.00014007,0.00014007
32,877.034,0.74809,1.14867,1.0301,0.81377,0.75704,0.84277,0.69554,0.67363,0.89649,0.92286,0.000133239,0.000133239,0.000133239
33,903.878,0.74108,1.13581,1.02336,0.82028,0.74266,0.84417,0.70206,0.67589,0.90006,0.93544,0.000126408,0.000126408,0.000126408
34,930.71,0.73483,1.10217,1.02428,0.81414,0.76716,0.85702,0.71341,0.66609,0.86995,0.93254,0.000119577,0.000119577,0.000119577
35,957.458,0.73776,1.10554,1.01866,0.76262,0.82378,0.86231,0.71958,0.65715,0.85353,0.92317,0.000112746,0.000112746,0.000112746
36,984.294,0.72738,1.07639,1.01573,0.77677,0.82527,0.8736,0.73449,0.65096,0.80785,0.92738,0.000105915,0.000105915,0.000105915
37,1011.09,0.71057,1.06287,1.01131,0.80394,0.78765,0.86992,0.72987,0.65512,0.82322,0.91835,9.9084e-05,9.9084e-05,9.9084e-05
38,1037.77,0.71562,1.05355,1.01263,0.73796,0.85442,0.87257,0.73437,0.63957,0.80148,0.91317,9.2253e-05,9.2253e-05,9.2253e-05
39,1064.58,0.72089,1.04165,1.01651,0.80483,0.81411,0.88221,0.7397,0.64873,0.79609,0.91623,8.5422e-05,8.5422e-05,8.5422e-05
40,1090.93,0.71024,1.01683,1.00688,0.85144,0.77921,0.8826,0.74101,0.65072,0.79794,0.91621,7.8591e-05,7.8591e-05,7.8591e-05
41,1116.97,0.61132,0.78744,0.94628,0.8168,0.80495,0.87785,0.73569,0.65256,0.79354,0.92394,7.176e-05,7.176e-05,7.176e-05
42,1141.59,0.59434,0.71304,0.9359,0.81007,0.81346,0.86866,0.7271,0.64386,0.82522,0.92185,6.4929e-05,6.4929e-05,6.4929e-05
43,1166.76,0.59007,0.68965,0.93653,0.81332,0.83911,0.87947,0.73969,0.64104,0.79851,0.91977,5.8098e-05,5.8098e-05,5.8098e-05
44,1191.88,0.58372,0.66236,0.93269,0.80061,0.85847,0.88431,0.74532,0.64201,0.77832,0.92632,5.1267e-05,5.1267e-05,5.1267e-05
45,1216.94,0.57671,0.65158,0.92883,0.79552,0.84067,0.88498,0.7488,0.62823,0.76995,0.91586,4.4436e-05,4.4436e-05,4.4436e-05
46,1241.71,0.56792,0.62485,0.92418,0.82545,0.84621,0.88873,0.74876,0.63789,0.75662,0.92031,3.7605e-05,3.7605e-05,3.7605e-05
47,1265.35,0.5634,0.62044,0.92391,0.80929,0.85464,0.88271,0.74573,0.63002,0.75682,0.91893,3.0774e-05,3.0774e-05,3.0774e-05
48,1289.96,0.56761,0.61025,0.92065,0.83978,0.82352,0.88396,0.74782,0.62509,0.75172,0.91239,2.3943e-05,2.3943e-05,2.3943e-05
49,1314.64,0.56294,0.6064,0.92166,0.8455,0.8235,0.89033,0.75388,0.62456,0.74136,0.91374,1.7112e-05,1.7112e-05,1.7112e-05
50,1339.67,0.55955,0.60727,0.92415,0.8465,0.83397,0.89279,0.75423,0.62529,0.73978,0.91575,1.0281e-05,1.0281e-05,1.0281e-05
