epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3787,1.13089,3.40913,1.29322,0.23042,0.41122,0.25086,0.18401,0.93706,2.48885,1.08933,0.000114073,0.000114073,0.000114073
2,66.6816,0.93045,2.11383,1.14432,0.38738,0.56226,0.46512,0.34825,0.89402,1.86194,1.05392,0.000224537,0.000224537,0.000224537
3,94.6105,0.88805,1.8754,1.10401,0.45259,0.56265,0.49598,0.37352,0.87576,1.89311,1.0768,0.000330447,0.000330447,0.000330447
4,121.653,0.88233,1.73714,1.09818,0.50831,0.49475,0.48133,0.36617,0.82755,1.96906,1.08339,0.000324507,0.000324507,0.000324507
5,148.528,0.85242,1.62324,1.08399,0.46913,0.51819,0.51907,0.39794,0.8137,1.68368,1.08252,0.000317676,0.000317676,0.000317676
6,175.645,0.82936,1.51923,1.07766,0.58396,0.57821,0.60633,0.46875,0.82298,1.54347,1.06699,0.000310845,0.000310845,0.000310845
7,202.826,0.81721,1.4338,1.0701,0.61428,0.71342,0.72382,0.58107,0.74284,1.1484,1.02271,0.000304014,0.000304014,0.000304014
8,230.013,0.80076,1.37363,1.0629,0.64857,0.63021,0.68881,0.53925,0.7702,1.25645,1.04597,0.000297183,0.000297183,0.000297183
9,257.278,0.78477,1.31217,1.05373,0.62978,0.67006,0.71445,0.56847,0.74965,1.2276,1.04076,0.000290352,0.000290352,0.000290352
10,284.573,0.77452,1.25248,1.04969,0.73735,0.71609,0.79508,0.65367,0.70734,0.95966,1.00926,0.000283521,0.000283521,0.000283521
11,312.485,0.76758,1.23424,1.05002,0.70108,0.7349,0.79197,0.64795,0.69763,0.99757,1.01217,0.00027669,0.00027669,0.00027669
12,339.887,0.76146,1.20787,1.04267,0.72232,0.7407,0.81746,0.66424,0.70434,0.94806,1.02001,0.000269859,0.000269859,0.000269859
13,367.086,0.74564,1.11997,1.03637,0.71812,0.74544,0.80847,0.65915,0.70046,0.95321,1.02823,0.000263028,0.000263028,0.000263028
14,394.232,0.75074,1.12783,1.03657,0.77009,0.73808,0.81541,0.66758,0.70126,0.92271,1.02641,0.000256197,0.000256197,0.000256197
15,421.603,0.7403,1.07234,1.0329,0.79495,0.7302,0.83462,0.67694,0.69402,0.87579,1.02774,0.000249366,0.000249366,0.000249366
16,448.925,0.72918,1.04896,1.02911,0.78687,0.74554,0.84704,0.69751,0.67,0.88831,1.00185,0.000242535,0.000242535,0.000242535
